206.168.142.132	1029	206-168-142-132.att.com	AT&T Corp.	AS7018				407 Proxy Authentication Required	
104.190.128.194	443	rfc6349-speedtest-sanfrancisco.att.com;rfc6349-speedtest-atlanta.att.com;rfc6349-speedtest-chicago.att.com;rfc6349-speedtest-dallas.att.com	AT&T Enterprises, LLC	AS7018	Jetty	9.4.58.v20250814		Error 404 Not Found	
12.194.12.37	443	sasvp.dvpn.bvoip.att.com;sasvpr4vdna.att.com;sasvp.r3.dvpn.bvoip.att.com;sasvpr3vdna.att.com;sasvpr4vdna.ncs.att.com;sasvpr2vdna.att.com;sasvpr3vdna.ncs.att.com;sasvpvdna.att.com;sasvp.r4.dvpn.bvoip.att.com;sasvpvdna.ncs.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
23.7.129.201	443	techdocs.acdn.att.com;a23-7-129-201.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
32.64.172.6	443	VCATORA2.att.com;vcatora2.attglobal.net	AT&T Enterprises, LLC	AS2685					
12.194.22.40	443	sasvpdl.callvantage.att.com;sasvpdl4r3vdna.ncs.att.com;sasvpdlr3vdna.att.com;sasvpdl2r4vdna.ncs.att.com;sasvpdl3r4vdna.ncs.att.com;sasvpdl3r3vdna.ncs.att.com;sasvpdl2r3vdna.ncs.att.com;sasvpdlr2vdna.att.com;sasvpdlbr4vdna.att.com;sasvpdlb.callvantage.att.com;sasvpdlr4vdna.att.com;sasvpdl1r2vdna.ncs.att.com;sasvpdl3r2vdna.ncs.att.com;sasvpdl1r3vdna.ncs.att.com;sasvpdlat4gavdna.att.com;sasvpdl1r4vdna.ncs.att.com;sasvpdl4r2vdna.ncs.att.com;sasvpdl2r2vdna.ncs.att.com;sasvpdlbr2vdna.att.com;sasvpdl4r4vdna.ncs.att.com;sasvpdlbr3vdna.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
32.65.32.5	443	VUSCHGA1.att.com;vuschga1.attglobal.net	AT&T Global Network Services, LLC	AS7018					
12.194.22.31	443	sasvpdl.callvantage.att.com;sasvpdl4r3vdna.ncs.att.com;sasvpdlr3vdna.att.com;sasvpdl2r4vdna.ncs.att.com;sasvpdl3r4vdna.ncs.att.com;sasvpdl3r3vdna.ncs.att.com;sasvpdl2r3vdna.ncs.att.com;sasvpdlr2vdna.att.com;sasvpdlbr4vdna.att.com;sasvpdlb.callvantage.att.com;sasvpdlr4vdna.att.com;sasvpdl1r2vdna.ncs.att.com;sasvpdl3r2vdna.ncs.att.com;sasvpdl1r3vdna.ncs.att.com;sasvpdlat4gavdna.att.com;sasvpdl1r4vdna.ncs.att.com;sasvpdl4r2vdna.ncs.att.com;sasvpdl2r2vdna.ncs.att.com;sasvpdlbr2vdna.att.com;sasvpdl4r4vdna.ncs.att.com;sasvpdlbr3vdna.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
20.12.25.125	443	geolink-igw.cloud.att.com	Microsoft Corporation	AS8075	nginx			TileServer GL - Server for vector and raster maps with GL styles	
12.203.52.13	443	pub-xs.hvs.att.com	TCORP-FA-PRODUCT TO PRODUCT	AS7018					
23.205.244.88	443	canopy-swu-playground.att.com;idptest.stage.blogin.att.com;ebondstaging.att.com;relay-attone.att.com;enterprisemm7.att.com;test-atttv-shopauth.att.com;a23-205-244-88.deploy.static.akamaitechnologies.com;inlet-access.att.com;canopy-leaf-playground.att.com;ebond.att.com;ebondtest.att.com;atttv-shopauth.att.com;relay-attone-qa.att.com;canopy-leaf.att.com;fiserv.idp.clogin.att.com;canopy-swu.att.com;fiserv.stage.clogin.att.com;inlet-access.stage.att.com;b2bprod.idp.blogin.att.com;ebondprod.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
32.65.38.53	443	vusokca1.attglobal.net;VUSOKCA1.att.com	AT&T Global Network Services, LLC	AS7018					
32.60.74.58	443	catorhvdacc10.intl.att.com;hvd-intl07.att.com;catorhvdacc11.intl.att.com	AT&T ITO	AS2685					
144.160.107.38	443	origin-nobf.att.com	AT&T Services, Inc.	AS797					
23.64.110.217	443	a23-64-110-217.deploy.static.akamaitechnologies.com;techdocs.acdn.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
104.190.128.146	443	rfc6349-speedtest-sanfrancisco.att.com;rfc6349-speedtest-atlanta.att.com;rfc6349-speedtest-chicago.att.com;rfc6349-speedtest-dallas.att.com	AT&T Enterprises, LLC	AS7018	Jetty	9.4.58.v20250814		Error 404 Not Found	
63.241.242.99	443	ortmeeting.att.com	AT&T Enterprises, LLC	AS7018					
12.194.22.86	443	sasvp.dvpn.bvoip.att.com;sasvpr4vdna.att.com;sasvp.r3.dvpn.bvoip.att.com;sasvpr3vdna.att.com;sasvpr4vdna.ncs.att.com;sasvpr2vdna.att.com;sasvpr3vdna.ncs.att.com;sasvpvdna.att.com;sasvp.r4.dvpn.bvoip.att.com;sasvpvdna.ncs.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
32.64.164.8	443	VJPTOKA3.att.com;vjptoka3.attglobal.net	AT&T Enterprises, LLC	AS2687					
32.65.198.167	443	vusbhma3.attglobal.net;VUSBHMA3.att.com	AT&T Global Network Services, LLC	AS7018					
32.64.172.5	443	VCATORA1.att.com	AT&T Enterprises, LLC	AS2685					
32.65.32.85	443	VUSFRFA1.att.com;vusfrfa1.attglobal.net	AT&T Global Network Services, LLC	AS7018					
144.160.194.52	443	wafemployeerelief.att.com	AT&T Services, Inc.	AS797					
12.203.52.22	443	mail900.hvs.att.com;ums102.hvs.att.com;log1.hvs.att.com;ums201.hvs.att.com;xsp3.hvs.att.com;pub.hvs.att.com;ums2.hvs.att.com;tel1.hvs.att.com;pub9-um.hvs.att.com;mail901.hvs.att.com;mail902.hvs.att.com;mail202.hvs.att.com;pub-um.hvs.att.com;hosp.hvs.att.com;pub2-cfg.hvs.att.com;xsp4.hvs.att.com;ums901.hvs.att.com;pub2-ums.hvs.att.com;hosp-uss.hvs.att.com;xsp2.hvs.att.com;hosp-xs.hvs.att.com;uss102.hvs.att.com;xsp101.hvs.att.com;pubxsp2.hvs.att.com;ems201.hvs.att.com;pub-um2.hvs.att.com;xsp904.hvs.att.com;ems101.hvs.att.com;pub-tel.hvs.att.com;ums101.hvs.att.com;mail201.hvs.att.com;pub-xs.hvs.att.com;ums1.hvs.att.com;ums902.hvs.att.com;xsp1.hvs.att.com;ems901.hvs.att.com;xsp903.hvs.att.com;xsp203.hvs.att.com;uss201.hvs.att.com;xsp201.hvs.att.com;pub9-xs.hvs.att.com;xsp104.hvs.att.com;pub9.hvs.att.com;pub2.hvs.att.com;pub-um1.hvs.att.com;pub-um101.hvs.att.com;tel2.hvs.att.com;pub2-uss.hvs.att.com;pub2-um.hvs.att.com;mail200.hvs.att.com;uss101.hvs.att.com;xsp103.hvs.att.com;pub9-ums.hvs.att.com;xsp202.hvs.att.com;ems202.hvs.att.com;log2.hvs.att.com;uss1.hvs.att.com;pub-cfg.hvs.att.com;pubxsp1.hvs.att.com;ems1.hvs.att.com;ems1pub-cfg.hvs.att.com;hosp-ums.hvs.att.com;xsp902.hvs.att.com;ems102.hvs.att.com;ums202.hvs.att.com;pub2-xs.hvs.att.com;xsp901.hvs.att.com;xsp204.hvs.att.com;uss901.hvs.att.com;ems902.hvs.att.com;uss902.hvs.att.com;hosp-um.hvs.att.com;ems2pub-cfg.hvs.att.com;hosp-cfg.hvs.att.com;pub-uss.hvs.att.com;pub-ums.hvs.att.com;xsp102.hvs.att.com;ems2.hvs.att.com;uss2.hvs.att.com;uss202.hvs.att.com;pub-um102.hvs.att.com;pub9-cfg.hvs.att.com;pub9-uss.hvs.att.com	TCORP-FA-PRODUCT TO PRODUCT	AS7018				HTTP Status 404 â€“ Not Found	
32.65.32.39	443	vuswasa3.attglobal.net;VUSWASA3.att.com	AT&T Global Network Services, LLC	AS7018					
52.223.55.67	443	a1ad19ac97e04b781.awsglobalaccelerator.com;RGDockerRegistry-prod-west.att.com	Amazon Technologies Inc.	AS16509	AWS ELB	2.0		403 Forbidden	
12.194.22.30	443	sasvpdl.callvantage.att.com;sasvpdl4r3vdna.ncs.att.com;sasvpdlr3vdna.att.com;sasvpdl2r4vdna.ncs.att.com;sasvpdl3r4vdna.ncs.att.com;sasvpdl3r3vdna.ncs.att.com;sasvpdl2r3vdna.ncs.att.com;sasvpdlr2vdna.att.com;sasvpdlbr4vdna.att.com;sasvpdlb.callvantage.att.com;sasvpdlr4vdna.att.com;sasvpdl1r2vdna.ncs.att.com;sasvpdl3r2vdna.ncs.att.com;sasvpdl1r3vdna.ncs.att.com;sasvpdlat4gavdna.att.com;sasvpdl1r4vdna.ncs.att.com;sasvpdl4r2vdna.ncs.att.com;sasvpdl2r2vdna.ncs.att.com;sasvpdlbr2vdna.att.com;sasvpdl4r4vdna.ncs.att.com;sasvpdlbr3vdna.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
23.46.33.152	443	att-snow-calnet.idp.blogin.att.com;www.movies.att.net;portal.bellsouth.net;www.synaptic.att.com;test.currently.com;att-salesforce.idp.blogin.att.com;www.hometab.bellsouth.net;a23-46-33-152.deploy.static.akamaitechnologies.com;login-dev.attwifi.com;san1.attssl.com;smallbusiness.bellsouth.net;cloudapi.synaptic.att.com;www.uverse.com;business.bellsouth.net;www.pricechanges.bellsouth.net;test.attonlineoffers.com;fom-proxy.attwifi.com;review.attbelieves.com;www.attpurchasing.com;www.attsuppliers.com;test.attpurchasing.com;att-snow-calnet.test.blogin.att.com;login-dev1.attwifi.com;att-snow-lvmh.idp.blogin.att.com;uverse.com;att-csso.stage.blogin.att.com;portal.wholesale.att.com;www.dsl.bellsouth.net;att-hbomax.test.clogin.att.com;att-snow-lvmh.stage.blogin.att.com;switch2.bellsouth.net;www.hosting.bellsouth.net;ftp.pwp.att.net;www.pensionchoice.att.com;tchosted.synaptic.att.com;www.bellsouth.com;www.switchto.bellsouth.net;www.sbc.com;attonlineoffers.com;dsl.bellsouth.net;www.biz.bellsouth.net;www.shop.att.com;att-csso.idp.blogin.att.com;partner.api.att.net;fom.attwifi.com;test.gpvpn.att.com;www.enterprise.att.com;www.currently.net;att-snow-calnet.stage.blogin.att.com;pricechanges.bellsouth.net;att-hbomax.stage.clogin.att.com;www.carsonandquinn.com;geo.stage.att.com;www.attonlineoffers.com;att-hbomax.idp.clogin.att.com;www.customerservice.att.com;attpurchasing.com;fom-test.attwifi.com;attsuppliers.com;prtl-test.gpvpn.att.com;hr-access.test.att.com;icds.portal.att.net;www.roam.bellsouth.net;test.thanksloyalty.com;currently.com;test-portal.wholesale.att.com;orderstatus.test.att.com;test.cloudapi.synaptic.att.com;carsonandquinn.com;login.stage.att.net;www.itcanwait.com;www.business.bellsouth.net;home.secureapp.att.net;www.currently.com;att-globys.idp.blogin.att.com;login.attwifi.com;www.miportal.bellsouth.net;www.smallbusiness.att.net;att-yahoo.stage.att.net;att-salesforce.stage.blogin.att.com;www.switch2.bellsouth.net;www.my.att.net;test.synaptic.att.com;home.bellsouth.net;www.music.att.net;att-snow-lvmh.test.blogin.att.com;www.attbelieves.com;test.attsuppliers.com;itcanwait.com;clouduser-wdc1.synaptic.att.com;roam.bellsouth.net;www.elportal.att.net;www.mysmallbiz.att.net;switchto.bellsouth.net;www.thanksloyalty.com;www.research.att.com;att-yahoo.test.att.net;thanksloyalty.com;clouduser.synaptic.att.com;www.home.bellsouth.net;att-globys.stage.blogin.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
144.160.142.52	443	cpsosasosqa.asi.sbc.com;cpsosasosqa-asi.att.com	AT&T Services, Inc.	AS797				Request Rejected	
202.135.170.36	443	inhydhvdue606.intl.att.com;inhydhvdue607.intl.att.com;inhydhvdue605.intl.att.com;hvd-intl09.att.com	Network of AT&T ITO	AS2687				VMware&nbsp;Horizon	
23.7.116.73	443	cjis.stage.flogin.att.com;ort-developer.firstnet.com;central.stage.firstnet.com;cfet-stage.firstnet.com;bfstg2-developer.firstnet.com;qa-developer.firstnet.com;test3-utf-www.firstnet.com;test2-www.firstnet.com;lb-fusion.firstnet.com;pm-fusion.firstnet.com;test3-pilot-www.firstnet.com;rafportal.firstnet.com;a23-7-116-73.deploy.static.akamaitechnologies.com;test3-www.firstnet.com;test-pilot-www.firstnet.com;tchosted.firstnet.com;www.firstnet.com;localcontrol.firstnet.com;premier.firstnet.com;test2-utf-www.firstnet.com;digital.firstnet.com;my-test.firstnet.com;firstnetcentral.firstnet.com;test2-pilot-www.firstnet.com;fusion.firstnet.com;test-premier.firstnet.com;notify.firstnet.com;soc.firstnet.att.com;stg-developer.firstnet.com;saml.test.flogin.att.com;central-test.firstnet.com;fnrr-dev.firstnet.com;firstnet.attssl.com;saml.stage.flogin.att.com;saml.idp.flogin.att.com;dev-developer.firstnet.com;developer.firstnet.com;test-developer.firstnet.com;perftest-wireless.firstnet.atttest.com;link.firstnet.com;cjis.idp.flogin.att.com;finalstg-developer.firstnet.com;cjis.test.flogin.att.com;incmgt-uat.stage.att.com;bfperf-developer.firstnet.com;test-utf-www.firstnet.com;dashboard-test.firstnet.com;prod-www.firstnet.com;test-www.firstnet.com;my.firstnet.com;dashboard.stage.firstnet.com;pilot-www.firstnet.com;utf-www.firstnet.com;notify-test.firstnet.com;bfstg1-developer.firstnet.com;pre-www.firstnet.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.192.84.7	443	cjis.stage.flogin.att.com;ort-developer.firstnet.com;central.stage.firstnet.com;cfet-stage.firstnet.com;bfstg2-developer.firstnet.com;qa-developer.firstnet.com;test3-utf-www.firstnet.com;test2-www.firstnet.com;lb-fusion.firstnet.com;pm-fusion.firstnet.com;test3-pilot-www.firstnet.com;rafportal.firstnet.com;test3-www.firstnet.com;test-pilot-www.firstnet.com;tchosted.firstnet.com;www.firstnet.com;localcontrol.firstnet.com;premier.firstnet.com;test2-utf-www.firstnet.com;digital.firstnet.com;my-test.firstnet.com;firstnetcentral.firstnet.com;test2-pilot-www.firstnet.com;fusion.firstnet.com;test-premier.firstnet.com;notify.firstnet.com;soc.firstnet.att.com;stg-developer.firstnet.com;saml.test.flogin.att.com;central-test.firstnet.com;fnrr-dev.firstnet.com;firstnet.attssl.com;saml.stage.flogin.att.com;saml.idp.flogin.att.com;dev-developer.firstnet.com;developer.firstnet.com;test-developer.firstnet.com;perftest-wireless.firstnet.atttest.com;link.firstnet.com;cjis.idp.flogin.att.com;finalstg-developer.firstnet.com;a23-192-84-7.deploy.static.akamaitechnologies.com;cjis.test.flogin.att.com;incmgt-uat.stage.att.com;bfperf-developer.firstnet.com;test-utf-www.firstnet.com;dashboard-test.firstnet.com;prod-www.firstnet.com;test-www.firstnet.com;my.firstnet.com;dashboard.stage.firstnet.com;pilot-www.firstnet.com;utf-www.firstnet.com;notify-test.firstnet.com;bfstg1-developer.firstnet.com;pre-www.firstnet.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.35.134.10	443	sasvpdlr2vdna.itn.labs.att.com;a23-35-134-10.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
95.100.67.91	443	sasvpdlr2vdna.itn.labs.att.com;a95-100-67-91.deploy.static.akamaitechnologies.com	Akamai Technologies	AS16625	AkamaiGHost			Invalid URL	
144.160.155.43	80	att.net;att.com	AT&T Services, Inc.	AS797	BigIP				
125.252.217.202	443	att-snow-calnet.idp.blogin.att.com;www.movies.att.net;portal.bellsouth.net;www.synaptic.att.com;test.currently.com;att-salesforce.idp.blogin.att.com;www.hometab.bellsouth.net;login-dev.attwifi.com;san1.attssl.com;smallbusiness.bellsouth.net;cloudapi.synaptic.att.com;www.uverse.com;business.bellsouth.net;www.pricechanges.bellsouth.net;a125-252-217-202.deploy.static.akamaitechnologies.com;test.attonlineoffers.com;fom-proxy.attwifi.com;review.attbelieves.com;www.attpurchasing.com;www.attsuppliers.com;test.attpurchasing.com;att-snow-calnet.test.blogin.att.com;login-dev1.attwifi.com;att-snow-lvmh.idp.blogin.att.com;uverse.com;att-csso.stage.blogin.att.com;portal.wholesale.att.com;www.dsl.bellsouth.net;att-hbomax.test.clogin.att.com;att-snow-lvmh.stage.blogin.att.com;switch2.bellsouth.net;www.hosting.bellsouth.net;ftp.pwp.att.net;www.pensionchoice.att.com;tchosted.synaptic.att.com;www.bellsouth.com;www.switchto.bellsouth.net;www.sbc.com;attonlineoffers.com;dsl.bellsouth.net;www.biz.bellsouth.net;www.shop.att.com;att-csso.idp.blogin.att.com;partner.api.att.net;fom.attwifi.com;test.gpvpn.att.com;www.enterprise.att.com;www.currently.net;att-snow-calnet.stage.blogin.att.com;pricechanges.bellsouth.net;att-hbomax.stage.clogin.att.com;www.carsonandquinn.com;geo.stage.att.com;www.attonlineoffers.com;att-hbomax.idp.clogin.att.com;www.customerservice.att.com;attpurchasing.com;fom-test.attwifi.com;attsuppliers.com;prtl-test.gpvpn.att.com;hr-access.test.att.com;icds.portal.att.net;www.roam.bellsouth.net;test.thanksloyalty.com;currently.com;test-portal.wholesale.att.com;orderstatus.test.att.com;test.cloudapi.synaptic.att.com;carsonandquinn.com;login.stage.att.net;www.itcanwait.com;www.business.bellsouth.net;home.secureapp.att.net;www.currently.com;att-globys.idp.blogin.att.com;login.attwifi.com;www.miportal.bellsouth.net;www.smallbusiness.att.net;att-yahoo.stage.att.net;att-salesforce.stage.blogin.att.com;www.switch2.bellsouth.net;www.my.att.net;test.synaptic.att.com;home.bellsouth.net;www.music.att.net;att-snow-lvmh.test.blogin.att.com;www.attbelieves.com;test.attsuppliers.com;itcanwait.com;clouduser-wdc1.synaptic.att.com;roam.bellsouth.net;www.elportal.att.net;www.mysmallbiz.att.net;switchto.bellsouth.net;www.thanksloyalty.com;www.research.att.com;att-yahoo.test.att.net;thanksloyalty.com;clouduser.synaptic.att.com;www.home.bellsouth.net;att-globys.stage.blogin.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
138.68.68.119	443	www.googletagmanager.com;service.urchin.com;region1.analytics.google.com;region1.google-analytics.com;region1.analytics.app-measurement.com;region1.app-analytics-services.com;region1.att.app-measurement.com;googletagmanager.com;region1.app-analytics-services-att.com;analytics.app-measurement.com;urchin.com;googleoptimize.com;att.app-measurement.com;app-measurement.com;fps.goog;www.googleoptimize.com;app-analytics-services-att.com;app-analytics-services.com;ssl.google-analytics.com;region1.app-measurement.com;www.google-analytics.com;google-analytics.com	DigitalOcean, LLC	AS14061				Error 404 (Not Found)!!1	
23.9.118.57	443	sasvpdl3r2vdna.itn.labs.att.com;a23-9-118-57.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
45.80.70.76	443	www.googletagmanager.com;service.urchin.com;region1.analytics.google.com;region1.google-analytics.com;region1.analytics.app-measurement.com;region1.app-analytics-services.com;region1.att.app-measurement.com;googletagmanager.com;region1.app-analytics-services-att.com;analytics.app-measurement.com;urchin.com;googleoptimize.com;att.app-measurement.com;app-measurement.com;fps.goog;www.googleoptimize.com;app-analytics-services-att.com;app-analytics-services.com;ssl.google-analytics.com;region1.app-measurement.com;www.google-analytics.com;google-analytics.com	Beget LLC	AS198610				301 Moved	
201.130.47.98	25	exoedge.mx.att.com;mxspredge01.mx.att.com;exoedgespr.mx.att.com;exoedgemgc.mx.att.com;mxmgcedge02.mx.att.com;mxmgcedge01.mx.att.com;mxspredge02.mx.att.com	AT&T COMUNICACIONES DIGITALES S DE RL DE CV	AS28469	Microsoft Exchange smtpd				
23.54.177.27	443	testaz.copyright.att.net;api.ato.cloud.att.com;mail-gaalpa1msl.exch.att.com;r-tst1.test-e.att.com;copyrightnew.stage.att.net;autodiscover.atttest.com;idprep-mpie.test-e.att.com;idp-mpie.test-e.att.com;failover-finalstage.att.com;cd.ato.cloud.att.com;dmp.test-e.att.com;pre-fs.att.com;bcmock.stage-e.att.com;a23-54-177-27.deploy.static.akamaitechnologies.com;secure-az-qc-test-e.cloud.att.com;stageaz-copyright.stage.att.net;biz-tst3.test-e.att.com;oidc.stage.blogin.att.com;mascert-nprd-eh-01.att.com;hdr3-oidc.test.att.com;m.stage.att.com;abshdr.test.att.com;review.attbelieves.com;idprep-fie.test-e.att.com;akastage-finalstage.att.com;bcst4.test.att.com;biz-tst1.test-e.att.com;brandcenter.test.att.com;lgw-dev-az.test.att.com;abshdr2.test.att.com;idpb2b-mpie.test-e.att.com;finalstage.att.com;bcuat2.stage-e.att.com;test6.att.com;tacs-ingress-test.att.com;troubleshoot-test2.test.att.com;csdktv.test.att.com;hdr-oidc.test.att.com;copyrightcms.stage.att.net;r-tst3.test-e.att.com;lgw-nprod-perf-az.test.att.com;aem-business.test-e.att.com;r-tst4.test-e.att.com;failover-fs.att.com;utf.stage.clogin.att.com;troubleshoot-test3.test.att.com;pre-finalstage.att.com;idc.test.att.com;akastage-identity.atttest.com;lgw-nprod-uat-az.test.att.com;idpb2b-fie.test-e.att.com;portal.ato.cloud.att.com;identity.atttest.com;boauthaccess.test.att.com;hdr2-oidc.test.att.com;r-tst2.test-e.att.com;biz-tst2.test-e.att.com;copyright-azeast.stage.att.net;dtv-auth.test.att.com;mail-cafrfd1msl.exch.att.com;aem-firstnet.test-e.att.com;in.ato.cloud.att.com;aem-preprodbusiness.test-e.att.com;bcuat4.stage-e.att.com;best-az.test.att.com;pre-brandcenter.test.att.com;bcuat3.stage-e.att.com;cdi.web.att.com;bcuat1.stage-e.att.com;idp-fie.test-e.att.com;tst.stage.att.com;globalsupplychain.test.att.com;premier.test.att.com;secure-az-stage-e.cloud.att.com;test2.att.com;utf.test.clogin.att.com;services-finalstage.att.com;test5.att.com;lgw-nprod-az.test.att.com;test3.att.com;fs.att.com;api-test-dmp.wireless.att.com;stageaz-copyright.att.net	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
173.222.155.62	443	a173-222-155-62.deploy.static.akamaitechnologies.com;techdocs.acdn.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.222.187.125	443	testaz.copyright.att.net;api.ato.cloud.att.com;mail-gaalpa1msl.exch.att.com;r-tst1.test-e.att.com;copyrightnew.stage.att.net;autodiscover.atttest.com;idprep-mpie.test-e.att.com;idp-mpie.test-e.att.com;failover-finalstage.att.com;cd.ato.cloud.att.com;dmp.test-e.att.com;pre-fs.att.com;bcmock.stage-e.att.com;secure-az-qc-test-e.cloud.att.com;stageaz-copyright.stage.att.net;biz-tst3.test-e.att.com;oidc.stage.blogin.att.com;mascert-nprd-eh-01.att.com;hdr3-oidc.test.att.com;m.stage.att.com;abshdr.test.att.com;review.attbelieves.com;idprep-fie.test-e.att.com;akastage-finalstage.att.com;bcst4.test.att.com;biz-tst1.test-e.att.com;brandcenter.test.att.com;lgw-dev-az.test.att.com;abshdr2.test.att.com;idpb2b-mpie.test-e.att.com;finalstage.att.com;bcuat2.stage-e.att.com;test6.att.com;tacs-ingress-test.att.com;troubleshoot-test2.test.att.com;csdktv.test.att.com;hdr-oidc.test.att.com;copyrightcms.stage.att.net;r-tst3.test-e.att.com;lgw-nprod-perf-az.test.att.com;aem-business.test-e.att.com;r-tst4.test-e.att.com;failover-fs.att.com;utf.stage.clogin.att.com;troubleshoot-test3.test.att.com;pre-finalstage.att.com;idc.test.att.com;akastage-identity.atttest.com;lgw-nprod-uat-az.test.att.com;idpb2b-fie.test-e.att.com;portal.ato.cloud.att.com;identity.atttest.com;boauthaccess.test.att.com;hdr2-oidc.test.att.com;r-tst2.test-e.att.com;biz-tst2.test-e.att.com;copyright-azeast.stage.att.net;dtv-auth.test.att.com;mail-cafrfd1msl.exch.att.com;aem-firstnet.test-e.att.com;in.ato.cloud.att.com;aem-preprodbusiness.test-e.att.com;bcuat4.stage-e.att.com;best-az.test.att.com;pre-brandcenter.test.att.com;bcuat3.stage-e.att.com;cdi.web.att.com;bcuat1.stage-e.att.com;idp-fie.test-e.att.com;tst.stage.att.com;globalsupplychain.test.att.com;premier.test.att.com;secure-az-stage-e.cloud.att.com;test2.att.com;utf.test.clogin.att.com;services-finalstage.att.com;test5.att.com;lgw-nprod-az.test.att.com;test3.att.com;fs.att.com;api-test-dmp.wireless.att.com;stageaz-copyright.att.net;a23-222-187-125.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.217.32.195	443	techdocs.acdn.att.com;a23-217-32-195.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.209.10.239	443	a23-209-10-239.deploy.static.akamaitechnologies.com;sasvpdl3r2vdna.itn.labs.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
23.14.68.238	443	canopy-swu-playground.att.com;idptest.stage.blogin.att.com;ebondstaging.att.com;relay-attone.att.com;enterprisemm7.att.com;test-atttv-shopauth.att.com;inlet-access.att.com;canopy-leaf-playground.att.com;ebond.att.com;ebondtest.att.com;atttv-shopauth.att.com;relay-attone-qa.att.com;canopy-leaf.att.com;fiserv.idp.clogin.att.com;canopy-swu.att.com;fiserv.stage.clogin.att.com;inlet-access.stage.att.com;b2bprod.idp.blogin.att.com;ebondprod.att.com;a23-14-68-238.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
2.21.198.129	443	sasvpdlr2vdna.itn.labs.att.com;a2-21-198-129.deploy.static.akamaitechnologies.com	Akamai Technologies	AS16625	AkamaiGHost			Invalid URL	
104.90.20.81	443	canopy-swu-playground.att.com;idptest.stage.blogin.att.com;ebondstaging.att.com;a104-90-20-81.deploy.static.akamaitechnologies.com;relay-attone.att.com;enterprisemm7.att.com;test-atttv-shopauth.att.com;inlet-access.att.com;canopy-leaf-playground.att.com;ebond.att.com;ebondtest.att.com;atttv-shopauth.att.com;relay-attone-qa.att.com;canopy-leaf.att.com;fiserv.idp.clogin.att.com;canopy-swu.att.com;fiserv.stage.clogin.att.com;inlet-access.stage.att.com;b2bprod.idp.blogin.att.com;ebondprod.att.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
2607:f9a8:1ff:401:32:64:172:5	443	VCATORA1.att.com	AT&T Enterprises, LLC	AS2685					
2001:1890:1ff:403:32:65:198:58	443	VUSKGMA2.att.com	AT&T Enterprises, LLC	AS7018					
2001:1be0:1ff:402:32:64:160:37	443	vfrpara1.attglobal.net;VFRPARA1.att.com	AT&T Global Network Services Nederland B.V.	AS2686					
2001:1890:e080:a20:32:65:38:182	443	VUSMDSA2.att.com	AT&T Enterprises, LLC	AS7018					
2001:1890:1286:11b::f:2003	443	edp-test.att.com;servicenow-test.att.com;scmintegration-apiservice-test.att.com;appt-test.az.cloud.att.com;attnow-onprem-dev.att.com	AT&T Enterprises, LLC	AS7018				AT&amp;T Global Logon - Error	
2001:d80:1ff:403:32:64:164:53	443	VAUMCPA1.att.com	AT&T GNS	AS2687					
2001:1890:1ff:400:32:65:198:5	443	VUSMIAB1.att.com	AT&T Enterprises, LLC	AS7018					
2001:1890:e080:a2d:32:65:34:53	443	VUSSTTA1.att.com	AT&T Enterprises, LLC	AS7018					
2001:1890:1ff:40c:32:65:198:213	443	VUSSNDA1.att.com	AT&T Enterprises, LLC	AS7018					
2001:1be0:1ff:401:32:64:160:23	443	VDEFRAA3.att.com	AT&T Global Network Services Nederland B.V.	AS2686					
2001:1890:e080:a25:32:65:38:56	443	VUSOKCA4.att.com	AT&T Enterprises, LLC	AS7018					
