ATT.COM

                         A      144.160.155.43
                         A      144.160.36.42
dal02.c2bc.um            A      199.108.23.30
dal03.c2bc.um            A      199.108.23.31
dal04.c2bc.um            A      199.108.23.32
dal05.c2bc.um            A      199.108.23.33
darp-confluence.cloud    A      20.122.233.255
darp-convergence-poc.cloud  A      20.22.31.219
darp-convergence-test.cloud  A      20.22.31.219
darp-jira-test.cloud     A      20.22.31.219
darp-jira.cloud          A      20.122.233.255
databank.cloud           A      52.177.146.50
datapatterns             A      144.160.233.193
db.research              A      204.178.0.182
dbactmgr                 A      144.160.107.152
dbhddgrhs.hvs            A      12.203.52.76
dbhddmean.hvs            A      12.203.52.76
dbhddmeck.hvs            A      12.203.52.76
dbhddswsh.hvs            A      12.203.52.76
dbhddwcghr.hvs           A      12.203.52.76
dcommng                  A      144.160.36.59
dcpselfservice.uc        A      12.130.10.152
dcss.hvs                 A      12.203.52.76
dcsscanton.hvs           A      12.203.52.76
ddap-gh.az.cloud         A      20.9.180.250
ddosdemo                 A      12.235.61.50
de.vpn                   A      192.128.3.249
dev-paymentstatus        A      144.160.230.100
dev-worker.rubicon.labops  A      40.64.128.226
dev01.iqi.labs           A      12.226.78.140
dev1-scmords             A      130.3.84.165
devintl-paymentstatus    A      144.160.230.99
dfcs.hvs                 A      12.203.52.76
dfcscherokee.hvs         A      12.203.52.76
dfcsdekalb               A      12.203.52.76
dgfg-beta.az.cloud       A      4.153.53.25
dhvpn-crl                A      144.160.103.76
dhvpn-crl                A      144.160.132.15
dialin.attpoc1           A      206.19.24.229
dialin.claritynvtlync.test  A      206.18.191.91
dialin.claritynvtsfb.test  A      206.18.191.92
did.drtas.cloud          A      3.140.164.46
did.drtas.cloud          A      3.22.15.185
did.drtas.cloud          A      3.23.223.212
digitaldesign-dr         A      144.161.8.93
digitaldesign.test       A      144.160.109.128
directv-pre              A      144.160.19.162
ditrex-alpha             A      144.161.136.51
ditrex-alpha.test        A      144.161.136.44
ditrex-bravo             A      144.161.136.50
ditrex-bravo.test        A      144.160.230.222
ditrex-charlie           A      144.161.106.234
ditrex-charlie.test      A      144.161.106.235
ditrex-echo              A      144.161.106.135
ditrex-echo-one          A      144.161.106.135
ditrex-echo-one.test     A      144.161.106.136
ditrex-echo-two          A      144.161.9.152
ditrex-echo-two.test     A      144.161.9.153
ditrex-echo.test         A      144.161.106.136
ditrexdr.wireless        A      170.35.236.248
ditrexqa2.wireless       A      170.35.216.111
dl-login-test.stage      A      65.83.225.160
dl-login.stage           A      65.83.225.158
dl-support               A      144.160.149.93
dl-support-dev.stage     A      65.83.225.150
dla-adjunct.research     A      204.178.9.66
dlc                      A      144.160.154.130
dlc                      A      144.160.233.233
dlc-ar                   A      144.160.154.139
dlc-dev.az.cloud         A      20.10.224.38
dlcq5authorb-dev         A      65.83.225.71
dlcq5authorconsoleb-dev  A      65.83.225.72
dlcq5pubconsoleb-dev     A      65.83.225.74
dlcq5publisherb-dev      A      65.83.225.73
dlsecureapp-cms          A      144.160.149.88
dlsecureapp-cms-dev.stage  A      65.83.225.141
dlsecureapp-cms-test.stage  A      65.83.225.102
dlsecureapp-cms-test1.stage  A      65.83.225.40
dlsecureapp-cms.stage    A      65.83.225.78
dlsecureapp-manage       A      144.160.149.89
dlsecureapp-manage-dev.stage  A      65.83.225.142
dlsecureapp-manage-test.stage  A      65.83.225.103
dlsecureapp-manage.stage  A      65.83.225.79
dm4ia15sds-noam.voiceconnect  A      12.194.129.37
dm4ia17sds-noam.voiceconnect  A      12.194.129.53
dmaaptuhub               A      144.161.177.39
dmz-uhana.research       A      204.178.9.73
dna.az.cloud             A      20.96.216.145
doralbany.hvs            A      12.203.52.76
dorcartersville.hvs      A      12.203.52.76
dorgainesville.hvs       A      12.203.52.76
dorwatknsvlle.hvs        A      12.203.52.76
dpece-carrollton.wireless  A      12.230.209.7
dpece-carrollton.wireless  A      12.230.209.8
dpece-hazelwood.wireless  A      12.230.209.71
dpece-hazelwood.wireless  A      12.230.209.72
dpene-columbia.wireless  A      12.230.208.199
dpene-columbia.wireless  A      12.230.208.200
dpene-rochelle-park.wireless  A      12.230.208.135
dpene-rochelle-park.wireless  A      12.230.208.136
dpese-decatur.wireless   A      12.230.208.52
dpese-decatur.wireless   A      12.230.208.53
dpese-lake-mary.wireless  A      12.230.208.71
dpese-lake-mary.wireless  A      12.230.208.72
dpewe-santa-ana.wireless  A      12.230.209.199
dpewe-santa-ana.wireless  A      12.230.209.200
dpewe-santa-clara.wireless  A      12.230.209.135
dpewe-santa-clara.wireless  A      12.230.209.136
dpewe.wireless           A      12.230.209.131
dpewe.wireless           A      12.230.209.195
dphlab.hvs               A      12.203.52.76
dsh2hqatl.hvs            A      12.203.52.76
dsl.bus                  A      144.160.233.76
dslorder-wholesale.test-e  A      144.160.233.220
dslorder.wholesale       A      144.160.194.56
dslordertest.wholesale   A      139.76.171.8
dss-p1mbw11              A      170.35.212.249
dss-p1mbw12              A      170.35.212.139
dss-p1mbw13              A      170.35.212.130
dss-p1mbw14              A      170.35.212.151
dss-p1mbw15              A      170.35.212.242
dss-p1mbw16              A      170.35.212.228
dss-p1mbw17              A      170.35.212.194
dss-p1mbw18              A      170.35.212.224
dss-p1mbw19              A      170.35.212.177
dss-p1mbw20              A      170.35.212.227
dss-p1mbw21              A      170.35.212.235
dss-p1mbw22              A      170.35.212.252
dss-p1mbw23              A      170.35.212.140
dss-p1mbw24              A      170.35.212.117
dss-p1mbw25              A      170.35.212.147
dss-p1mbw26              A      170.35.212.236
dss-p1mbw27              A      170.35.212.231
dss-p1mbw28              A      170.35.212.222
dss-p1mbw29              A      170.35.212.223
dss-p1mbw30              A      170.35.212.166
dss-p1mbw31              A      170.35.212.230
dss-p1mbw32              A      170.35.212.240
dss-p1mbw33              A      170.35.212.246
dss-p2mbw1               A      170.35.239.198
dss-p2mbw10              A      170.35.239.154
dss-p2mbw11              A      170.35.239.156
dss-p2mbw12              A      170.35.239.195
dss-p2mbw13              A      170.35.239.196
dss-p2mbw14              A      170.35.239.191
dss-p2mbw15              A      170.35.239.185
dss-p2mbw16              A      170.35.239.181
dss-p2mbw17              A      170.35.239.176
dss-p2mbw18              A      170.35.239.165
dss-p2mbw19              A      170.35.239.170
dss-p2mbw2               A      170.35.239.153
dss-p2mbw20              A      170.35.239.163
dss-p2mbw21              A      170.35.239.160
dss-p2mbw22              A      170.35.239.155
dss-p2mbw23              A      170.35.239.194
dss-p2mbw24              A      170.35.239.192
dss-p2mbw25              A      170.35.239.188
dss-p2mbw26              A      170.35.239.184
dss-p2mbw27              A      170.35.239.178
dss-p2mbw28              A      170.35.239.171
dss-p2mbw29              A      170.35.239.158
dss-p2mbw3               A      170.35.239.193
dss-p2mbw30              A      170.35.239.172
dss-p2mbw31              A      170.35.239.164
dss-p2mbw32              A      170.35.239.162
dss-p2mbw33              A      170.35.239.157
dss-p2mbw4               A      170.35.239.182
dss-p2mbw5               A      170.35.239.179
dss-p2mbw6               A      170.35.239.175
dss-p2mbw7               A      170.35.239.159
dss-p2mbw8               A      170.35.239.169
dss-p2mbw9               A      170.35.239.167
dss-p9mbw1               A      135.209.149.245
dss-p9mbw10              A      135.209.149.225
dss-p9mbw11              A      135.209.149.214
dss-p9mbw12              A      135.209.149.244
dss-p9mbw13              A      135.209.149.240
dss-p9mbw14              A      135.209.149.235
dss-p9mbw15              A      135.209.149.231
dss-p9mbw16              A      135.209.149.233
dss-p9mbw17              A      135.209.149.229
dss-p9mbw18              A      135.209.149.218
dss-p9mbw19              A      135.209.149.224
dss-p9mbw2               A      135.209.149.242
dss-p9mbw20              A      135.209.149.219
dss-p9mbw21              A      135.209.149.217
dss-p9mbw22              A      135.209.149.220
dss-p9mbw23              A      135.209.149.243
dss-p9mbw24              A      135.209.149.241
dss-p9mbw25              A      135.209.149.239
dss-p9mbw26              A      135.209.149.237
dss-p9mbw27              A      135.209.149.232
dss-p9mbw28              A      135.209.149.228
dss-p9mbw29              A      135.209.149.222
dss-p9mbw3               A      135.209.149.238
dss-p9mbw30              A      135.209.149.216
dss-p9mbw31              A      135.209.149.223
dss-p9mbw32              A      135.209.149.215
dss-p9mbw33              A      135.209.149.221
dss-p9mbw4               A      135.209.149.236
dss-p9mbw5               A      135.209.149.234
dss-p9mbw6               A      135.209.149.230
dss-p9mbw7               A      135.209.149.226
dss-p9mbw8               A      135.209.149.227
dss-p9mbw9               A      135.209.149.213
dtv-hbomax-pre.idp.clogin  A      144.160.19.153
dtv-hbomax.dev.clogin    A      144.161.137.237
dtv-hbomax.test.clogin   A      144.161.137.214
dtv-hbomax.test.clogin   A      144.161.137.237
dtvsearchazure.az.cloud  A      40.91.88.244
dtvsearchazurenprd.az.cloud  A      20.99.216.116
dudley.research          A      204.178.9.51
dxq.research             A      204.178.9.47
dynatrace-saas           A      4.152.149.188
dynatrace-saas-nprd      A      20.72.88.100
e2ef-ericssonlab         A      129.192.151.225
e2ef-ericssonlab         A      129.192.151.226
e2ef-ericssonlab         A      129.192.151.34
ea.e-access              A      12.131.119.72
eaauth.e-access          A      12.131.119.74
eas-test.dp              A      144.160.9.13
ebiznet                  A      144.160.107.200
ebonddm1east             A      130.3.84.106
ebonddm1west             A      130.3.84.202
ebpt.bus                 A      192.20.13.163
ebxmlgateway             A      144.160.34.26
ecam.stage               A      144.160.154.39
ecaretest70.stage        A      12.153.241.71
ecaretest71.stage        A      12.153.241.72
ecaretest72.stage        A      12.153.241.85
ecaretest73.stage        A      12.153.241.86
ecat.em                  A      144.160.230.41
ecs.wireless             A      170.35.212.38
edge3.exch               A      144.161.125.186
edge4.exch               A      144.161.75.250
edgeal6.exch             A      144.161.121.52
edgefr1.exch             A      130.3.132.149
edgefr2.exch             A      130.3.132.147
edgefr3.exch             A      130.3.132.148
edgeso3.exch             A      144.160.12.222
edo-dev.stage            A      216.77.188.88
edo.stage                A      216.77.188.49
edoswc.stage             A      216.77.188.119
egssmtp00                A      144.160.20.53
egssmtp00b               A      144.160.20.48
egssmtp01                A      144.160.112.12
egssmtp01b               A      144.160.112.14
egssmtp02                A      144.160.128.166
egssmtp02b               A      144.160.128.157
egssmtp03                A      144.160.128.152
egssmtp03b               A      144.160.128.158
egssmtp04                A      144.160.112.13
egssmtp04b               A      144.160.112.15
ehclm.stage              A      144.160.241.247
eisprd                   A      144.160.107.109
eistst                   A      144.160.107.108
elasmtp01                A      144.160.117.252
elasmtp01b               A      144.160.117.228
elasmtp01c               A      144.160.117.229
elasmtp01d               A      144.160.117.230
elasmtp01e               A      144.160.117.231
elasmtp02                A      144.161.151.155
elasmtp02b               A      144.161.151.151
elasmtp02c               A      144.161.151.153
elasmtp02d               A      144.161.151.96
elasmtp02e               A      144.161.151.97
em                       A      12.176.186.145
emlink.wireless          A      206.165.245.102
emm-ca01-crl.dp          A      144.161.116.246
empvhk.vpn               A      122.248.140.103
ems1.hvs                 A      12.226.222.16
ems101.hvs               A      12.226.222.57
ems102.hvs               A      12.203.52.57
ems1pub-cfg.hvs          A      12.226.222.16
ems2.hvs                 A      12.203.52.16
ems201.hvs               A      12.226.222.32
ems202.hvs               A      12.203.52.32
ems2pub-cfg.hvs          A      12.203.52.16
ems901.hvs               A      12.203.52.36
enclave.vpn              A      144.160.5.53
engage000.hvs            A      12.203.52.51
engage100.hvs            A      12.203.52.52
engage200.hvs            A      12.226.222.53
enroll                   A      216.77.188.55
ens                      A      192.215.8.15
enterprise-access-dev.stage  A      144.160.194.184
enterprise-access.stage  A      144.160.194.184
enterprise-clogin-al     A      144.161.106.133
enterprise-clogin-da     A      144.160.125.192
enterprise-clogin-ff     A      144.161.77.223
enterprise-clogin-sf     A      144.160.19.187
enterprise-clogin.stage  A      144.161.137.189
enterprise-login.stage   A      144.160.194.184
eod-tx.wireless          A      135.209.168.56
eod-wa.wireless          A      135.209.156.66
eod.wireless             A      144.160.142.66
eplsourcing              A      144.161.69.180
eplt1sourcing            A      144.160.107.185
era                      A      144.160.34.28
esignsignature           A      144.160.230.231
esignsignature-prod      A      144.160.230.231
esignsignature.stage     A      144.160.230.232
esignsignature.test      A      144.160.230.230
esms-ak-east.nprd-gw.cloud  A      20.122.146.46
esms-ak-west.nprd-gw.cloud  A      20.125.51.250
espcare                  A      144.160.119.74
espcaretest              A      144.161.116.165
esupstage                A      12.153.241.55
esystems                 A      139.76.232.13
etrak                    A      144.160.219.95
etrak-train              A      144.160.219.112
etrakuat                 A      144.160.219.94
everest-dashboard.az.cloud  A      20.96.82.147
everest-eu2-beta-dashboard.az.cloud  A      20.22.238.191
everest-eu2-staging.az.cloud  A      172.177.49.45
experiments.az.cloud     A      20.85.42.228
expressordering-dev.cloud  A      132.196.241.214
expressordering.cloud    A      20.72.72.185
expressordering.stage-e  A      144.160.233.162
expressticketing.cloud   A      20.85.64.181
expressticketingbeta.cloud  A      20.80.229.37
expressway.uccentral     A      12.130.33.130
expressway2.uccentral    A      63.241.204.14
exspider.research        A      204.178.9.48
extpridns.labs           A      144.60.9.150
ezbill.wireless          A      170.35.213.232
f5aps.mss                A      12.216.12.27
f5palo.mss               A      12.216.10.219
faccess                  A      144.160.125.94
faccess                  A      144.161.106.176
faccess                  A      144.161.168.28
faccess-a                A      144.160.125.94
faccess-a                A      144.161.106.176
faccess-a                A      144.161.168.28
faccess-da               A      144.160.125.94
faccess-sf               A      144.161.168.28
faccess.stage            A      144.161.8.141
fastpass                 A      144.160.230.60
faureciameeting          A      12.130.54.93
fbcc                     A      12.43.0.40
fcontent                 A      144.160.125.93
fcontent                 A      144.161.106.174
